n,N,reps,n_fail
7,38,100000,100000
1332184,77,100000,207
24,69,100000,100000
557,16,100000,19572
1177238,6,100000,0
2586,4,100000,221
249954752,88,100000,2
448,75,100000,99872
80,86,100000,100000
16804007,56,100000,12
54615,30,100000,782
1411433635,93,100000,0
2126,15,100000,4791
27555772,74,100000,11
57,51,100000,100000
46560,87,100000,7667
1129703,85,100000,302
558355712,56,100000,1
231,98,100000,100000
1052,31,100000,36021
343,97,100000,100000
1022,98,100000,99119
1586,47,100000,49795
26008,37,100000,2607
1633,54,100000,58629
96,83,100000,100000
15158733,57,100000,11
166194,73,100000,1546
289911,81,100000,1108
4924,31,100000,9088
25375384,69,100000,5
125,6,100000,11492
17532,59,100000,9285
569981753,23,100000,0
252,67,100000,99994
60610,4,100000,8
129259286,47,100000,1
726,14,100000,11880
2333,70,100000,64894
1019094,87,100000,397
187310254,45,100000,1
319,47,100000,97088
28243,87,100000,12425
30,25,100000,100000
292,37,100000,90784
1040313,45,100000,101
307,34,100000,84980
181,46,100000,99812
5,40,100000,100000
7643,50,100000,14781
2299,92,100000,83976
236,79,100000,100000
857,37,100000,54564
130,36,100000,99501
747,35,100000,55607
919315,37,100000,81
3423812583,30,100000,1
1304,33,100000,33418
32626,87,100000,10925
11127896,49,100000,9
19896,22,100000,1115
5660,8,100000,508
3165656,52,100000,41
9672,67,100000,20626
50293,68,100000,4355
2635,39,100000,24618
310,8,100000,8587
42227,77,100000,6747
475406,95,100000,916
2850,48,100000,33057
17361,79,100000,16394
514175061,4,100000,0
385310784,10,100000,0
59308,52,100000,2225
357,20,100000,42165
195981,38,100000,359
456210,72,100000,596
1410,5,100000,671
593965103,10,100000,0
432,4,100000,1421
288742904,9,100000,0
5171,45,100000,17649
540,46,100000,86155
5325,66,100000,33202
163,11,100000,29108
1698,49,100000,50333
28715247,65,100000,6
85597676,46,100000,0
15474367,52,100000,12
3971125,98,100000,150
2168,21,100000,9312
1149,3,100000,274
39437,37,100000,1668
5430,86,100000,49052
205,27,100000,83204
53906,95,100000,7896
20698,90,100000,17650
2610,18,100000,5643
1818,31,100000,22588
44265190,11,100000,0
15,23,100000,100000
336,71,100000,99962
142,19,100000,71806
